State,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,
Alabama,   4849377,         427.4,           5.7,          29.6,          41.3,          96.9,         283.4
Alaska,     736732,         635.8,           5.6,          75.3,         104.7,          85.4,         440.2
Arizona,   6731484,         399.9,           4.7,          36.6,          50.2,          92.8,         252.1
Arkansas,   2966369,         480.1,           5.6,          39.8,          59.4,          69.1,         346.0
California,  38802500,         396.1,           4.4,          21.6,          29.7,         125.5,         236.6
Colorado,   5355866,         309.1,           2.8,          39.6,          56.7,          56.7,         192.8
Connecticut,   3596677,         236.9,           2.4,          15.9,          21.7,          87.8,         125.0
Delaware,     935614,         489.1,           5.8,          26.6,          41.3,         135.6,         306.4
District of Columbia,     658893,       1244.4,          15.9,          53.4,          71.6,         530.7,         626.1
Florida,  19893297,         540.5,           5.8,          30.4,          43.0,         125.2,         366.4
Georgia,  10097343,         377.3,           5.7,          21.4,          30.2,         123.0,         218.4
Hawaii,   1419561,         259.2,           1.8,          22.1,          31.3,          78.0,         148.1
Idaho,   1634464,         212.2,           2.0,          28.6,          37.3,          12.5,         160.5
Illinois,  12880580,         370.0,           5.3,          23.9,          32.3,         118.8,         213.7
Indiana,   6596855,         365.3,           5.0,          24.5,          33.1,         104.5,         222.6
Iowa,   3107126,         273.5,           1.9,          26.6,          36.3,          33.6,         201.6
Kansas,   2904021,         348.6,           3.1,          37.0,          48.6,          46.9,         250.0
Kentucky,   4413457,         211.6,           3.6,          20.0,          32.6,          75.6,          99.8
Louisiana,   4649676,         514.7,          10.3,          21.3,          29.6,         122.5,         352.4
Maine,   1330089,         127.8,           1.6,          27.1,          36.5,          22.9,          66.9
Maryland,   5976407,         446.1,           6.1,          19.1,          27.1,         159.7,         253.2
Massachusetts,   6745408,         391.4,           2.0,          24.1,          32.3,          89.5,         267.6
Michigan,   9909877,         427.3,           5.4,          40.9,          63.3,          80.9,         277.7
Minnesota,   5457173,         229.1,           1.6,          26.6,          36.7,          67.6,         123.3
Mississippi,   2994079,         278.5,           8.6,          25.5,          35.3,          81.2,         153.4
Missouri,   6063589,         442.9,           6.6,          28.1,          39.2,          92.2,         304.8
Montana,   1023579,         323.7,           3.6,          42.0,          52.9,          19.8,         247.4
Nebraska,   1881503,         280.4,           2.9,          33.0,          45.8,          55.4,         176.2
Nevada,   2839099,         635.6,           6.0,          35.0,          47.8,         209.7,         372.1
New Hampshire,   1326813,         196.1,            .9,          34.5,          44.8,          40.5,         110.0
New Jersey,   8938175,         261.2,           3.9,          10.7,          14.3,         117.5,         125.6
New Mexico,   2085572,         597.4,           4.8,          51.4,          70.7,         100.0,         421.8
New York,  19746227,         381.8,           3.1,          19.8,          27.5,         121.8,         229.4
North Carolina,   9943964,         329.5,           5.1,          17.5,          24.3,          84.6,         215.4
North Dakota,     739482,         265.1,           3.0,          37.3,          48.4,          23.4,         190.3
Ohio,  11594163,         284.9,           4.0,          35.3,          43.5,         110.0,         127.4
Oklahoma,   3878051,         406.0,           4.5,          32.9,          45.8,          78.6,         277.0
Oregon,   3970239,         232.3,           2.0,          26.5,          36.7,          52.7,         140.8
Pennsylvania,  12787209,         314.1,           4.8,          21.8,          29.9,         105.8,         173.5
Rhode Island,   1055173,         219.2,           2.4,          24.0,          34.2,          50.1,         132.5
South Carolina,   4832482,         497.7,           6.4,          30.6,          42.8,          82.7,         365.8
South Dakota,     853175,         326.5,           2.3,          48.4,          55.1,          23.4,         245.7
Tennessee,   6549352,         608.4,           5.7,          28.4,          38.6,         110.9,         453.2
Texas,  26956958,         405.9,           4.4,          30.6,          42.3,         115.7,         243.6
Utah,   2942902,         215.6,           2.3,          32.1,          49.4,          44.6,         119.4
Vermont,     626562,          99.3,           1.6,          15.8,          17.6,          11.2,          68.9
Virginia,   8326289,         196.2,           4.1,          17.2,          27.7,          51.5,         112.9
Washington,   7061530,         285.2,           2.5,          30.7,          38.2,          79.9,         164.7
West Virginia,   1850326,         302.0,           4.0,          15.4,          27.3,          35.2,         235.5
Wisconsin,   5757564,         290.3,           2.9,          20.3,          29.1,          88.0,         170.4
Wyoming,     584153,         195.5,           2.7,          21.6,          29.8,           9.1,         153.9
